[Header]																																																																		
Data File Name	C:\path\to\files\sample_1.qgd																																																																	
Output Date	01.03.2022																																																																	
Output Time	03:22:15																																																																	
																																																																		
[MS Quantitative Results]																																																																		
# of IDs	80																																																																	
ID#	Name	Type	ISTD Group#	Mass	Ret.Time	Start Time	End Time	A/H	Area	Height	Conc.	Mode	Peak#	Std.Ret.Time	Calibration Curve	3rd	2nd	1st	Constant	Ref.Ion Area	Ref.Ion Height	Ref.Ion Set Ratio	Ref.Ion Ratio	Recovery	SI	Ref.Ion1 m/z	Ref.Ion1 Area	Ref.Ion1 Height	Ref.Ion1 Set Ratio	Ref.Ion1 Ratio	Ref.Ion2 m/z	Ref.Ion2 Area	Ref.Ion2 Height	Ref.Ion2 Set Ratio	Ref.Ion2 Ratio	Ref.Ion3 m/z	Ref.Ion3 Area	Ref.Ion3 Height	Ref.Ion3 Set Ratio	Ref.Ion3 Ratio	Ref.Ion4 m/z	Ref.Ion4 Area	Ref.Ion4 Height	Ref.Ion4 Set Ratio	Ref.Ion4 Ratio	Ref.Ion5 m/z	Ref.Ion5 Area	Ref.Ion5 Height	Ref.Ion5 Set Ratio	Ref.Ion5 Ratio	Ret. Index	S/N	Unit	Description	Threshold	Tailing	Ref.Ion1 S/N	Ref.Ion2 S/N	Ref.Ion3 S/N	Ref.Ion4 S/N	Ref.Ion5 S/N	ISTD Name	ISTD Area	ISTD Height	ISTD Ret.Time	Noise
40	Indan_5_ol	Target	0	133	15.253	15.22	15.287	1.54	361783	235486	0	Auto	199	15.093						0	0	81.52	81.45	0	93	162	0	0	81.52	81.45	134	0	0	52.9	50.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1343	0.85	ppm		0	0.999										278203.656
41	Indane 	Target	0	117	Not Identified									10.347																																						0.26														7517.488
42	Isopropyl myristate 	Target	0	43	Not Identified									21.08																																						1.78														17148
43	Isopropyl palmitate 	Target	0	43	23.127	23.103	23.167	1.53	34777	22791	0	Auto	213	23.11						0	0	77.54	73.31	0	97	60	0	0	77.54	73.31	102	0	0	75.54	73.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2023	0.78	ppm		0	1.313										29129.324
44	Limonene	Target	0	68	10.243	10.223	10.283	1.78	53528	30141	0	Auto	218	10.267						0	0	77.6	93.59	0	82	93	0	0	77.6	93.59	67	0	0	72.7	69.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	5.31	ppm		0	1.246										5679.261
45	"Linalool <ethyl_, (E)_>"	Target	0	55	Not Identified									13.07																																						1.4														103342.716
46	Linalool isobutyrate	Target	0	93	Not Identified									10.527																																						2.01														6723.036
47	Linalyl acetate	Target	0	93	Not Identified									8.193																																						57.19														2432.2
48	Longifolene_(V4)	Target	0	57	Not Identified									15.893																																						1.21														39458.75
49	Maaliene <gamma_>	Target	0	161	16.407	16.377	16.433	1.57	24159	15367	0	Auto	243	16.39						0	0	88.61	51.99	0	92	105	0	0	88.61	51.99	94	0	0	86.94	78.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	1.9	ppm		0	0.986										8066.759
50	Menthol	Target	0	71	12.888	12.863	12.923	1.58	194497	123174	0	Auto	247	12.87						0	0	96.12	92.07	0	94	81	0	0	96.12	92.07	95	0	0	84.81	77.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	1.14	ppm		0	1.026										108291.538
51	Mesitylene	Target	0	105	9.543	9.507	9.593	2.09	46062	22008	0	Auto	253	9.52						0	0	49.28	54.38	0	92	120	0	0	49.28	54.38	119	0	0	10.57	8.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995	5.59	ppm		0	1.109										3934.684
52	Methyl oxalate	Target	0	59	9.483	9.43	9.533	2.42	796408	329397	0	Auto	256	9.863						0	0	13.53	4.95	0	86	31	0	0	13.53	4.95	45	0	0	10.44	1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	41.24	ppm		0	0.983										7986.75
53	Myrcene	Target	0	69	Not Identified									9.447																																						6.23														12902.08
54	Myroxide 	Target	0	79	Not Identified									12.183																																						19.97														4719.786
55	"Nicotinonitrile, 1_ethyl_1,4_dihydro_ "	Target	0	133	Not Identified									13.537																																						3														10679.923
56	Nonanal 	Target	0	57	11.613	11.587	11.647	1.52	1234294	810017	0	Auto	279	11.593						0	0	70.64	72.95	0	99	41	0	0	70.64	72.95	56	0	0	63.27	63.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	5.42	ppm		0	0.956										149366.257
57	Palmitate <ethyl_>	Target	0	88	22.849	22.82	22.87	1.46	10722	7338	0	Auto	284	22.83						0	0	48.91	53.91	0	82	101	0	0	48.91	53.91	43	0	0	27.5	27.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1994	7.71	ppm		0	0.913										951.563
58	Pelargol	Target	0	69	11.051	11.027	11.087	1.62	547017	337496	0	Auto	288	11.03						0	0	77.69	86.04	0	93	57	0	0	77.69	86.04	43	0	0	74.01	70.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076	6.51	ppm		0	1.039										51815.047
59	Phenethyl alcohol	Target	0	91	11.806	11.75	11.843	1.64	45607	27750	0	Auto	294	11.783						0	0	60.52	66.35	0	93	92	0	0	60.52	66.35	122	0	0	27.31	29.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	4.65	ppm		0	1.141										5970.429
60	Phenethyl isocyanate 	Target	0	91	19.007	18.987	19.04	1.39	64340	46336	0	Auto	297	18.993						0	0	20.07	13.58	0	90	105	0	0	20.07	13.58	147	0	0	16.25	16.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1636	7.9	ppm		0	1.095										5867.467
61	Phytone	Target	0	43	21.308	21.297	21.35	1.1	15545	14189	0	Auto	304	21.31						0	0	90.79	88.66	0	87	58	0	0	90.79	88.66	71	0	0	53.08	18.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1843	0.71	ppm		0	2.139										20043.805
62	Pinene <alpha_>	Target	0	93	8.229	8.153	8.313	3.68	511408	139089	0	Auto	307	8.27						0	0	40.31	37.75	0	91	92	0	0	40.31	37.75	91	0	0	39.27	35.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	57.19	ppm		0	1.122										2432.2
63	Sabinene	Target	0	93	Not Identified									9.117																																						0.82														12659.912
64	Sabinene hydrate <cis_>	Target	0	43	Not Identified									11.037																																						0.9														312157
65	Sabinol isovalerate 	Target	0	91	Not Identified									17.923																																						1.78														10107.364
66	Salicylate <2_ethylhexyl_>	Target	0	120	Not Identified									21																																						93.48														1851.524
67	Salicylate <hexyl_>	Target	0	120	Not Identified									19.617																																						3.46														3099.882
68	Salicylate <methyl_>	Target	0	120	Not Identified									13.153																																						1.56														2542.488
69	Stearate <ethyl_>	Target	0	88	Not Identified									24.72																																						5.85														807.785
70	"Succinic acid, 2,2_dimethylpent_3_yl 2_methylhex_3_yl ester"	Target	0	99	Not Identified									10.123																																						5.8														9321.462
71	Terpineol <alpha_>	Target	0	59	13.182	13.11	13.213	1.52	108015	71030	0	Auto	353	13.173						0	0	53.01	70.41	0	83	93	0	0	53.01	70.41	136	0	0	43.77	47.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	6.39	ppm		0	1.186										11118
72	Thujene <alpha_>	Target	0	93	8.229	8.153	8.313	3.68	511408	139089	0	Auto	357	8.2						0	0	38.17	37.75	0	93	92	0	0	38.17	37.75	91	0	0	34.72	35.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	57.19	ppm		0	1.122										2432.2
73	Thujone <beta_>	Target	0	110	11.899	11.853	11.943	1.59	455158	285735	0	Auto	363	11.877						0	0	84.63	85.06	0	97	81	0	0	84.63	85.06	95	0	0	75.89	77.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	174.18	ppm		0	0.992										1640.5
74	Toscanol	Target	0	121	15.466	15.427	15.497	1.44	120650	83497	0	Auto	369	15.447						0	0	32.37	33.88	0	94	162	0	0	32.37	33.88	134	0	0	27.93	27.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1359	10.24	ppm		0	0.961										8154.48
75	trans_Geranylacetone	Target	0	43	16.728	16.7	16.753	1.32	482407	364944	0	Auto	372	16.72						0	0	41.53	40.51	0	98	69	0	0	41.53	40.51	41	0	0	34.31	34.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452	5.43	ppm		0	0.987										67162.535
76	trans_Sesquisabinene hydrate 	Target	0	85	19.129	19.11	19.157	1.59	66312	41710	0	Auto	379	18.883						0	0	81.74	72.31	0	78	95	0	0	81.74	72.31	57	0	0	76.25	62.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1647	2.32	ppm		0	1.092										17967.679
77	Unknown_KI_943	Target	0	95	Not Identified									8.573																																						1.09														2378.313
78	"Vanillin, 2_methylpropyl ether"	Target	0	151	15.896	15.863	15.927	1.58	26868	16966	0	Auto	386	16.15						0	0	95.18	107.04	0	82	152	0	0	95.18	107.04	57	0	0	28.47	32.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1389	8.1	ppm		0	1.081										2094.667
79	"Vanillin, isopropyl ether"	Target	0	151	15.896	15.863	15.927	1.58	26868	16966	0	Auto	391	16.16						0	0	91.19	107.04	0	85	152	0	0	91.19	107.04	109	0	0	28.52	15.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1389	8.1	ppm		0	1.081										2094.667
80	Verdyl acetate	Target	0	66	Not Identified									16.467																																						14.31														1223.26
																																																																		
[Header]																																																																		
Data File Name	C:\path\to\files\sample_3.qgd																																																																	
Output Date	01.03.2022																																																																	
Output Time	03:22:21																																																																	
																																																																		
[MS Quantitative Results]																																																																		
# of IDs	80																																																																	
ID#	Name	Type	ISTD Group#	Mass	Ret.Time	Start Time	End Time	A/H	Area	Height	Conc.	Mode	Peak#	Std.Ret.Time	Calibration Curve	3rd	2nd	1st	Constant	Ref.Ion Area	Ref.Ion Height	Ref.Ion Set Ratio	Ref.Ion Ratio	Recovery	SI	Ref.Ion1 m/z	Ref.Ion1 Area	Ref.Ion1 Height	Ref.Ion1 Set Ratio	Ref.Ion1 Ratio	Ref.Ion2 m/z	Ref.Ion2 Area	Ref.Ion2 Height	Ref.Ion2 Set Ratio	Ref.Ion2 Ratio	Ref.Ion3 m/z	Ref.Ion3 Area	Ref.Ion3 Height	Ref.Ion3 Set Ratio	Ref.Ion3 Ratio	Ref.Ion4 m/z	Ref.Ion4 Area	Ref.Ion4 Height	Ref.Ion4 Set Ratio	Ref.Ion4 Ratio	Ref.Ion5 m/z	Ref.Ion5 Area	Ref.Ion5 Height	Ref.Ion5 Set Ratio	Ref.Ion5 Ratio	Ret. Index	S/N	Unit	Description	Threshold	Tailing	Ref.Ion1 S/N	Ref.Ion2 S/N	Ref.Ion3 S/N	Ref.Ion4 S/N	Ref.Ion5 S/N	ISTD Name	ISTD Area	ISTD Height	ISTD Ret.Time	Noise
1	.E_Hexadec_2_enal 	Target	0	43	Not Identified									8.78																																						2.99														61468.377
2	".delta._Terpineol, acetate "	Target	0	43	10.52	10.503	10.62	5.12	112071	21875	0	Auto	8	10.51						0	0	78.59	64.7	0	91	93	0	0	78.59	64.7	59	0	0	47.78	31.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1047	0.74	ppm		0	3.661										29554.8
3	"1_Penten_3_ol, 1_phenyl_ "	Target	0	133	15.597	15.563	15.64	1.43	208904	146468	0	Auto	15	15.583						0	0	82.01	83.5	0	97	162	0	0	82.01	83.5	134	0	0	50.79	54.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	36.15	ppm		0	1.017										4051.512
4	2_Ethyl_1_hexanol	Target	0	57	10.2	10.157	10.24	1.87	928453	496690	0	Auto	19	10.18						0	0	32.95	34.94	0	98	41	0	0	32.95	34.94	43	0	0	29.03	28.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1030	10.78	ppm		0	0.964										46053.865
5	2_Ethylhexanal	Target	0	57	Not Identified									8.67																																						1.83														19798.263
6	3_Methylapopinene	Target	0	93	8.229	8.157	8.323	3.64	352262	96763	0	Auto	28	8.193						0	0	37.61	36.49	0	97	92	0	0	37.61	36.49	91	0	0	35.12	33.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	32.25	ppm		0	1.187										3000.75
7	"4_Carene, (1S,3R,6R)_(_)_ "	Target	0	93	Not Identified									8.213																																						32.25														3000.75
8	"Acetate <hexyl_, 2_ethyl_>"	Target	0	43	12.292	12.273	12.32	1.29	33863	26344	0	Auto	36	12.277						0	0	55.25	71.01	0	89	70	0	0	55.25	71.01	57	0	0	53.38	44.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	1.46	ppm		0	1.135										18012.5
9	Acetophenone	Target	0	105	10.985	10.947	11.043	1.9	231132	121340	0	Auto	44	10.963						0	0	65.02	67.97	0	94	77	0	0	65.02	67.97	120	0	0	32.2	30.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	19.29	ppm		0	1.015										6289.235
10	Artemisia acetate	Target	0	127	Not Identified									12.597																																						2.66														2253
11	Artemisia alcohol	Target	0	86	Not Identified									11.25																																						0.57														5708.358
12	Artemisia ketone	Target	0	84	Not Identified									10.833																																						6.32														9616.8
13	Benmoxin 	Target	0	105	8.844	8.787	8.873	2.46	96902	39413	0	Auto	62	8.827						0	0	40.95	36.54	0	91	120	0	0	40.95	36.54	91	0	0	10.44	10.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	33.46	ppm		0	0.816										1177.9
14	Benzaldehyde	Target	0	105	8.925	8.873	8.983	3	552180	183871	0	Auto	68	8.9						0	0	93.36	99.71	0	90	106	0	0	93.36	99.71	77	0	0	81.19	94.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	156.1	ppm		0	1.058										1177.9
15	Benzaldehyde <para_ethoxy_>	Target	0	121	15.266	15.237	15.303	1.54	15844	10319	0	Auto	72	15.243						0	0	42.72	28.91	0	88	150	0	0	42.72	28.91	122	0	0	22.01	16.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	10.97	ppm		0	1.138										940.931
16	"Benzene <1,4_diacetyl_>"	Target	0	147	16.63	16.597	16.67	1.47	226999	154616	0	Auto	77	16.617						0	0	38.95	37.24	0	98	91	0	0	38.95	37.24	43	0	0	30.63	29.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1445	67.56	ppm		0	1.029										2288.708
17	Benzoate <ethyl_>	Target	0	105	12.771	12.74	12.803	1.43	58932	41203	0	Auto	83	12.747						0	0	42.21	39.63	0	96	77	0	0	42.21	39.63	122	0	0	32.39	32.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	19.01	ppm		0	0.99										2167.514
18	Benzyl alcohol 	Target	0	79	10.363	10.317	10.433	2	761835	380547	0	Auto	88	10.343						0	0	92.53	92.29	0	98	108	0	0	92.53	92.29	107	0	0	61.78	61.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	61.32	ppm		0	0.997										6206.323
19	Borneol	Target	0	95	12.843	12.813	12.877	1.54	69565	45132	0	Auto	93	12.847						0	0	29.19	19.12	0	87	110	0	0	29.19	19.12	41	0	0	18.91	10.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	24.36	ppm		0	1.1										1852.698
20	Camphene	Target	0	93	Not Identified									8.64																																						95.93														1008.512
21	Camphor	Target	0	95	Not Identified									12.437																																						1.29														1852.698
22	Caparratriene	Target	0	95	Not Identified									16.333																																						1.2														1684.935
23	"Carbonic acid, eicosyl vinyl ester"	Target	0	57	Not Identified									10.287																																						2														41433.791
24	Carvone	Target	0	82	Not Identified									13.953																																						5.93														2010.813
25	Carvyl acetate <cis_>	Target	0	84	Not Identified									15.537																																						2.23														6146.063
26	Caryophyllene <beta_>	Target	0	93	16.41	16.383	16.437	1.43	17954	12521	0	Auto	128	16.507						0	0	81.49	67.02	0	87	133	0	0	81.49	67.02	41	0	0	77.07	76.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	6.8	ppm		0	0.99										1840.8
27	Caryophyllene <E_>	Target	0	93	16.41	16.383	16.437	1.43	17954	12521	0	Auto	133	16.5						0	0	82.89	67.02	0	87	133	0	0	82.89	67.02	41	0	0	82.36	76.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	6.8	ppm		0	0.99										1840.8
28	Cymene <para_>	Target	0	119	10.156	10.087	10.207	2.06	98518	47914	0	Auto	138	10.167						0	0	70.67	33.75	0	77	134	0	0	70.67	33.75	91	0	0	55.9	24.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	22.36	ppm		0	0.915										2143.241
29	"Dihydrocarveol <1,6_>"	Target	0	59	13.183	13.12	13.2	1.46	6598	4515	0	Auto	143	13.177						0	0	63.31	71.68	0	85	93	0	0	63.31	71.68	136	0	0	43.56	52.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	2.2	ppm		0	0.834										2048.692
30	"Dihydrojasmonate <methyl_, cis_>"	Target	0	83	Not Identified									19.25																																						0.69														6462.976
31	Dihydromyrcenol	Target	0	59	Not Identified									10.99																																						1.58														5924.864
32	Eucalyptol	Target	0	43	Not Identified									10.33																																						0.71														30724.909
33	Guaiene <alpha_>	Target	0	105	Not Identified									16.407																																						3.67														3415.612
34	Hept_5_en_2_one <6_methyl_>	Target	0	43	9.345	9.307	9.397	2.21	187185	84778	0	Auto	169	9.33						0	0	55.18	52.52	0	97	41	0	0	55.18	52.52	108	0	0	45.6	45.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	1.3	ppm		0	1.13										65069.292
35	Heptanone<5_methyl_3_>	Target	0	43	8.387	8.347	8.477	3.32	203559	61367	0	Auto	173	8.387						0	0	83.35	57.87	0	83	57	0	0	83.35	57.87	71	0	0	64.09	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933	0.54	ppm		0	1.299										114278.421
36	Hex_(3Z)_enyl acetate	Target	0	43	Not Identified									9.737																																						2.43														65069.292
37	"Hexanal, 2_ethyl_ "	Target	0	57	Not Identified									8.69																																						1.83														19798.263
38	Hydroxy citronellyl tiglate	Target	0	83	8.789	8.747	8.83	2.32	11588	5002	0	Auto	189	8.757						0	0	99.69	128.73	0	80	43	0	0	99.69	128.73	55	0	0	85.85	107.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	2.29	ppm		0	0.978										2181.645
39	Hydroxycitronellol	Target	0	59	Not Identified									15.4																																						4.19														1536.308
40	Indan_5_ol	Target	0	133	15.109	15.08	15.143	1.39	37589	26991	0	Auto	196	15.093						0	0	81.52	76.25	0	95	162	0	0	81.52	76.25	134	0	0	52.9	50.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333	0.58	ppm		0	1.022										46618.667
41	Indane 	Target	0	117	Not Identified									10.347																																						1.53														6762.375
42	Isopropyl myristate 	Target	0	43	Not Identified									21.08																																						1.46														4211.07
43	Isopropyl palmitate 	Target	0	43	23.127	23.107	23.153	1.18	14329	12143	0	Auto	213	23.11						0	0	77.54	73.03	0	95	60	0	0	77.54	73.03	102	0	0	75.54	73.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2023	1.68	ppm		0	1.022										7247.59
44	Limonene	Target	0	68	10.242	10.217	10.283	1.93	80921	41896	0	Auto	217	10.267						0	0	77.6	75.98	0	90	93	0	0	77.6	75.98	67	0	0	72.7	74.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	9.94	ppm		0	1.119										4212.973
45	"Linalool <ethyl_, (E)_>"	Target	0	55	Not Identified									13.07																																						8.21														15117.6
46	Linalool isobutyrate	Target	0	93	10.538	10.5	10.583	1.79	64898	36219	0	Auto	228	10.527						0	0	63.02	54.43	0	89	43	0	0	63.02	54.43	41	0	0	54.41	31.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048	18.06	ppm		0	1.036										2005.304
47	Linalyl acetate	Target	0	93	Not Identified									8.193																																						32.25														3000.75
48	Longifolene_(V4)	Target	0	57	Not Identified									15.893																																						1.14														23554.768
49	Maaliene <gamma_>	Target	0	161	16.408	16.38	16.437	1.41	21526	15248	0	Auto	245	16.39						0	0	88.61	69.52	0	96	105	0	0	88.61	69.52	94	0	0	86.94	91.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	9.8	ppm		0	1.089										1556.065
50	Menthol	Target	0	71	13.283	13.253	13.31	1.38	127598	92798	0	Auto	249	12.87						0	0	96.12	57.05	0	78	81	0	0	96.12	57.05	95	0	0	84.81	51.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1209	4.23	ppm		0	1.021										21917.8
51	Mesitylene	Target	0	105	9.543	9.49	9.74	2.26	136608	60553	0	Auto	253	9.52						0	0	49.28	49.51	0	90	120	0	0	49.28	49.51	119	0	0	10.57	5.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995	2.38	ppm		0	0.957										25416.333
52	Methyl oxalate	Target	0	59	9.863	9.807	9.96	2.62	258751	98636	0	Auto	258	9.863						0	0	13.53	13.29	0	95	31	0	0	13.53	13.29	45	0	0	10.44	10.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012	25.38	ppm		0	1.515										3885.789
53	Myrcene	Target	0	69	9.204	9.157	9.263	2.91	81526	28017	0	Auto	261	9.447						0	0	99.94	91.47	0	76	93	0	0	99.94	91.47	41	0	0	99.93	97.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	5.14	ppm		0	1.11										5453.755
54	Myroxide 	Target	0	79	Not Identified									12.183																																						3.84														1564.481
55	"Nicotinonitrile, 1_ethyl_1,4_dihydro_ "	Target	0	133	13.551	13.517	13.587	1.45	157766	108973	0	Auto	274	13.537						0	0	86.32	81.42	0	95	134	0	0	86.32	81.42	105	0	0	58.1	57.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	39.42	ppm		0	1.084										2764.429
56	Nonanal 	Target	0	57	11.613	11.587	11.65	1.52	737803	485562	0	Auto	279	11.593						0	0	70.64	72.65	0	99	41	0	0	70.64	72.65	56	0	0	63.27	61.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	12.31	ppm		0	0.991										39445.5
57	Palmitate <ethyl_>	Target	0	88	Not Identified									22.83																																						21.97														527.743
58	Pelargol	Target	0	69	11.053	11.017	11.09	1.67	117431	70152	0	Auto	288	11.03						0	0	77.69	70.89	0	97	57	0	0	77.69	70.89	43	0	0	74.01	67.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076	4.98	ppm		0	1.044										14084.794
59	Phenethyl alcohol	Target	0	91	11.807	11.777	11.83	1.63	7619	4668	0	Auto	294	11.783						0	0	60.52	68.5	0	89	92	0	0	60.52	68.5	122	0	0	27.31	22.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	1.91	ppm		0	0.842										2448.914
60	Phenethyl isocyanate 	Target	0	91	19.01	18.987	19.043	1.53	56670	36945	0	Auto	298	18.993						0	0	20.07	22.39	0	94	105	0	0	20.07	22.39	147	0	0	16.25	17.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637	10.78	ppm		0	1.021										3428.696
61	Phytone	Target	0	43	21.316	21.3	21.35	1.45	19933	13700	0	Auto	304	21.31						0	0	90.79	93.88	0	93	58	0	0	90.79	93.88	71	0	0	53.08	38.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1844	3.25	ppm		0	1.546										4211.07
62	Pinene <alpha_>	Target	0	93	8.229	8.157	8.323	3.64	352262	96763	0	Auto	307	8.27						0	0	40.31	36.49	0	94	92	0	0	40.31	36.49	91	0	0	39.27	33.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	32.25	ppm		0	1.187										3000.75
63	Sabinene	Target	0	93	Not Identified									9.117																																						1.14														7617.902
64	Sabinene hydrate <cis_>	Target	0	43	Not Identified									11.037																																						5.4														59062.746
65	Sabinol isovalerate 	Target	0	91	17.943	17.913	17.973	1.43	52368	36726	0	Auto	324	17.923						0	0	25.57	28.05	0	90	133	0	0	25.57	28.05	105	0	0	11.68	12.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1548	6.42	ppm		0	1.029										5719.2
66	Salicylate <2_ethylhexyl_>	Target	0	120	21.014	20.993	21.047	1.6	3925	2455	0	Auto	328	21						0	0	97.24	133.58	0	81	178	0	0	97.24	133.58	138	0	0	75.79	61.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1815	2.46	ppm		0	1.226										998.06
67	Salicylate <hexyl_>	Target	0	120	19.636	19.603	19.67	1.37	12633	9221	0	Auto	335	19.617						0	0	45.07	35.55	0	84	138	0	0	45.07	35.55	121	0	0	24.18	26.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1690	14.49	ppm		0	1.057										636.515
68	Salicylate <methyl_>	Target	0	120	13.164	13.097	13.19	1.48	30363	20485	0	Auto	337	13.153						0	0	57.38	51.24	0	87	92	0	0	57.38	51.24	152	0	0	50.95	45.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	37.02	ppm		0	1.018										553.316
69	Stearate <ethyl_>	Target	0	88	Not Identified									24.72																																						2.45														489.333
70	"Succinic acid, 2,2_dimethylpent_3_yl 2_methylhex_3_yl ester"	Target	0	99	Not Identified									10.123																																						1.36														3557.357
71	Terpineol <alpha_>	Target	0	59	13.183	13.12	13.2	1.46	6598	4515	0	Auto	353	13.173						0	0	53.01	71.68	0	82	93	0	0	53.01	71.68	136	0	0	43.77	52.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	2.2	ppm		0	0.834										2048.692
72	Thujene <alpha_>	Target	0	93	8.229	8.157	8.323	3.64	352262	96763	0	Auto	358	8.2						0	0	38.17	36.49	0	98	92	0	0	38.17	36.49	91	0	0	34.72	33.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	32.25	ppm		0	1.187										3000.75
73	Thujone <beta_>	Target	0	110	Not Identified									11.877																																						0.68														830.4
74	Toscanol	Target	0	121	15.266	15.237	15.303	1.54	15844	10319	0	Auto	367	15.447						0	0	32.37	0.48	0	76	162	0	0	32.37	0.48	134	0	0	27.93	3.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	7.24	ppm		0	1.138										1424.6
75	trans_Geranylacetone	Target	0	43	16.727	16.71	16.747	1.15	27055	23439	0	Auto	372	16.72						0	0	41.53	48.97	0	94	69	0	0	41.53	48.97	41	0	0	34.31	29.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1452	0.84	ppm		0	1.016										27749.431
76	trans_Sesquisabinene hydrate 	Target	0	85	Not Identified									18.883																																						1.06														9320.942
77	Unknown_KI_943	Target	0	95	Not Identified									8.573																																						3.22														1690.656
78	"Vanillin, 2_methylpropyl ether"	Target	0	151	Not Identified									16.15																																						2.82														817.198
79	"Vanillin, isopropyl ether"	Target	0	151	Not Identified									16.16																																						1.83														817.198
80	Verdyl acetate	Target	0	66	Not Identified									16.467																																						1.2														1043.477
