[Header Info Signal 1 COLT 3.0]
"champor_std_20_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  17:51    ,210420_Ring21_liq_sync.M,7
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",258427,22.196,0.00
"RI_1514_unknown EIC",63632,22.266,0.00
"RI_1520_unknown_sesquiterpene TIC",853969,22.269,0.00
"RI_1520_unknown_sesquiterpene EIC",35740,22.170,0.00
"RI_1520_unknown_sesquiterpene SIM",43733,22.173,0.00
"RI_1536_unknown TIC",4042552,22.474,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",1335431,22.601,0.00
"farnesen_a EIC",11560,22.690,0.00
"farnesen_a SIM",29173,22.716,0.00
[Header Info Signal 1 COLT 3.0]
"hexacetate_std_40_P2aa.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  13:11    ,210420_Ring21_liq_sync.M,4
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"hexacetate_std_40_P2aa.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  13:11    ,210420_Ring21_liq_sync.M,4
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",96029,13.310,0.00
"pinene_a SIM",103535,13.309,0.00
"RI_960_unknown_monoterpene TIC",-3175,13.707,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",70620,13.707,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",2498248,13.926,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",17112,14.065,0.00
"sabinene SIM",15679,14.070,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",50754081,14.483,0.00
"decane EIC",26504681,14.483,0.00
"hexyl_acetate TIC",118939521,14.483,0.00
"hexyl_acetate EIC",45009190,14.483,0.00
"methyldecane_2 TIC",0,0.000,0.00
"methyldecane_2 EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",17774,15.026,0.00
"limonene TIC",41673,15.123,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",0,0.000,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",2665627,15.587,0.00
"RI_1066_unknown_monoterpen EIC",26117,15.591,0.00
"RI_1066_unknown_monoterpen SIM",1412695,15.589,0.00
"sabinene_hydrate_E TIC",2293837,15.810,0.00
"sabinene_hydrate_E EIC",140128,15.814,0.00
"sabinene_hydrate_E SIM",1734225,15.589,0.00
"acetophenone TIC",322504,15.890,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",373726,16.372,0.00
"nonanal EIC",479959,16.292,0.00
"RI_1118_unknown TIC",1104209,16.494,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",1038097,16.494,0.00
"thujone_a EIC",25953,16.482,0.00
"thujone_b TIC",2470805,16.664,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",276647,17.656,0.00
"borneol EIC",10024,17.703,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",797298,17.904,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",-21417,17.904,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",4231506,18.973,0.00
"RI_1302_unknown TIC",494207,19.375,0.00
"RI_1312_unknown TIC",255676,19.503,0.00
"1-Bromo-Decane TIC",331283,20.106,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",34449,20.390,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",19687,20.776,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",84159,20.836,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",80150,21.397,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",0,0.000,0.00
"RI_1504_unknown_sesquiterpene TIC",654829,22.043,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",239866,22.212,0.00
"RI_1514_unknown EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene TIC",-21723,22.212,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",27077,22.291,0.00
"RI_1536_unknown TIC",3841620,22.489,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",1079588,22.618,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"hexacetate_std_40_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  13:51    ,210420_Ring21_liq_sync.M,4
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"hexacetate_std_40_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  13:51    ,210420_Ring21_liq_sync.M,4
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",103832,13.305,0.00
"pinene_a SIM",108385,13.309,0.00
"RI_960_unknown_monoterpene TIC",24774,13.700,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",88526,13.700,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",2353127,13.926,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",40683,14.021,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",15390,14.072,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",46807321,14.484,0.00
"decane EIC",26045932,14.484,0.00
"hexyl_acetate TIC",116787707,14.484,0.00
"hexyl_acetate EIC",44861692,14.484,0.00
"methyldecane_2 TIC",0,0.000,0.00
"methyldecane_2 EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",48329,15.026,0.00
"cymene_p EIC",24323,15.028,0.00
"limonene TIC",0,0.000,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",0,0.000,0.00
"eucalyptol TIC",9221,15.189,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",2599651,15.588,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",1368764,15.590,0.00
"sabinene_hydrate_E TIC",2290329,15.812,0.00
"sabinene_hydrate_E EIC",122344,15.815,0.00
"sabinene_hydrate_E SIM",1708580,15.591,0.00
"acetophenone TIC",336996,15.889,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",339380,16.372,0.00
"nonanal EIC",508443,16.293,0.00
"RI_1118_unknown TIC",1088309,16.493,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",1044912,16.492,0.00
"thujone_a EIC",27815,16.491,0.00
"thujone_b TIC",1961417,16.669,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",263508,17.661,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",607153,17.910,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",288075,17.909,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",3908375,18.976,0.00
"RI_1302_unknown TIC",3165339,19.311,0.00
"RI_1312_unknown TIC",213390,19.515,0.00
"1-Bromo-Decane TIC",106723,20.120,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",0,0.000,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",0,0.000,0.00
"RI_1504_unknown_sesquiterpene TIC",577434,22.052,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",195535,22.158,0.00
"RI_1514_unknown EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene TIC",99562,22.223,0.00
"RI_1520_unknown_sesquiterpene EIC",6430,22.347,0.00
"RI_1520_unknown_sesquiterpene SIM",5001,22.352,0.00
"RI_1536_unknown TIC",4154086,22.500,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",1013235,22.634,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"hexacetate_std_60_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  14:33    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"hexacetate_std_60_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  14:33    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",0,0.000,0.00
"pinene_a SIM",0,0.000,0.00
"RI_960_unknown_monoterpene TIC",13601,13.702,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",67307,13.702,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",1389397,13.928,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",-10099,14.297,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",90678975,14.482,0.00
"decane EIC",45394139,14.482,0.00
"hexyl_acetate TIC",186425953,14.482,0.00
"hexyl_acetate EIC",65134873,14.482,0.00
"methyldecane_2 TIC",0,0.000,0.00
"methyldecane_2 EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",0,0.000,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",0,0.000,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",2054738,15.588,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",1278655,15.590,0.00
"sabinene_hydrate_E TIC",1328789,15.803,0.00
"sabinene_hydrate_E EIC",48217,15.809,0.00
"sabinene_hydrate_E SIM",1711278,15.591,0.00
"acetophenone TIC",0,0.000,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",345690,16.373,0.00
"nonanal EIC",119729,16.295,0.00
"RI_1118_unknown TIC",928301,16.495,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",1079028,16.495,0.00
"thujone_a EIC",19950,16.490,0.00
"thujone_b TIC",1094419,16.648,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",259527,17.657,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",797409,17.919,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",102345,17.919,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",0,0.000,0.00
"RI_1302_unknown TIC",1204549,19.320,0.00
"RI_1312_unknown TIC",0,0.000,0.00
"1-Bromo-Decane TIC",14664,20.121,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",65380,20.253,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",39811,20.389,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",59483,20.465,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",114166,20.731,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",77748,20.807,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",0,0.000,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",0,0.000,0.00
"RI_1504_unknown_sesquiterpene TIC",2443254,22.063,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",0,0.000,0.00
"RI_1514_unknown EIC",14666,22.286,0.00
"RI_1520_unknown_sesquiterpene TIC",258976,22.290,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1536_unknown TIC",803616,22.493,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",76979,22.702,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"hexacetate_std_60_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  15:14    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"hexacetate_std_60_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  15:14    ,210420_Ring21_liq_sync.M,5
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",6675,13.113,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",0,0.000,0.00
"pinene_a SIM",0,0.000,0.00
"RI_960_unknown_monoterpene TIC",10415,13.702,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",76141,13.702,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",691160,13.926,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",116271023,14.482,0.00
"decane EIC",44627038,14.482,0.00
"hexyl_acetate TIC",180997455,14.482,0.00
"hexyl_acetate EIC",64514002,14.482,0.00
"methyldecane_2 TIC",0,0.000,0.00
"methyldecane_2 EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",0,0.000,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",0,0.000,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",0,0.000,0.00
"eucalyptol TIC",37586,15.183,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",1836850,15.589,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",1224342,15.591,0.00
"sabinene_hydrate_E TIC",1314981,15.803,0.00
"sabinene_hydrate_E EIC",56412,15.812,0.00
"sabinene_hydrate_E SIM",1529642,15.592,0.00
"acetophenone TIC",0,0.000,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",352276,16.373,0.00
"nonanal EIC",122564,16.295,0.00
"RI_1118_unknown TIC",918854,16.498,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",1133635,16.498,0.00
"thujone_a EIC",10514,16.496,0.00
"thujone_b TIC",1112484,16.647,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",0,0.000,0.00
"champhor EIC",0,0.000,0.00
"borneol TIC",255591,17.661,0.00
"borneol EIC",0,0.000,0.00
"dodecane TIC",0,0.000,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",521227,17.913,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",0,0.000,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",40759,18.964,0.00
"RI_1302_unknown TIC",0,0.000,0.00
"RI_1312_unknown TIC",788650,19.434,0.00
"1-Bromo-Decane TIC",72331,20.126,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",34861,20.126,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",0,0.000,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",0,0.000,0.00
"RI_1504_unknown_sesquiterpene TIC",572909,22.017,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",68390,22.141,0.00
"RI_1514_unknown EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1520_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1536_unknown TIC",73307,22.438,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",172644,22.715,0.00
"farnesen_a EIC",0,0.000,0.00
"farnesen_a SIM",0,0.000,0.00
[Header Info Signal 1 COLT 3.0]
"hexacetate_std_80_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  15:56    ,210420_Ring21_liq_sync.M,6
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"hexacetate_std_80_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  15:56    ,210420_Ring21_liq_sync.M,6
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",0,0.000,0.00
"pinene_a SIM",0,0.000,0.00
"RI_960_unknown_monoterpene TIC",0,0.000,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",50090,13.703,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",904033,13.928,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",0,0.000,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",0,0.000,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",150014647,14.482,0.00
"decane EIC",52278953,14.481,0.00
"hexyl_acetate TIC",222802320,14.482,0.00
"hexyl_acetate EIC",76546759,14.482,0.00
"methyldecane_2 TIC",0,0.000,0.00
"methyldecane_2 EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene TIC",0,0.000,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
